entry_date,entry_price,exit_date,exit_price,return_pct,hold_days,exit_reason
2021-05-23,260.72,2021-06-03,428.48,64.345,11,rsi_exit
2022-01-07,448.1,2022-01-16,498.6,11.27,9,rsi_exit
2022-01-21,383.9,2022-02-06,419.9,9.377,16,rsi_exit
2022-05-09,296.1,2022-05-12,251.685,-15.0,3,stop
2022-06-12,254.8,2022-06-13,216.58,-15.0,1,stop
2022-12-16,231.2,2023-01-04,258.9,11.981,19,rsi_exit
2023-06-05,276.9,2023-06-10,235.365,-15.0,5,stop
2023-08-17,218.1,2023-08-29,226.9,4.035,12,rsi_exit
2024-07-04,513.6,2024-07-15,585.3,13.96,11,rsi_exit
2024-08-05,464.2,2024-08-17,541.6,16.674,12,rsi_exit
2025-02-04,572.69,2025-02-12,696.93,21.694,8,rsi_exit
2025-11-21,830.46,2025-12-03,920.76,10.873,12,rsi_exit
2026-01-31,781.38,2026-02-05,664.173,-15.0,5,stop
2026-02-15,615.16,2026-03-04,657.99,6.962,17,rsi_exit
